player,team,nation,pos,age,born,league,season,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Ben White,Arsenal,ENG,DF,25,1997,ENG-Premier League,2324,37,35,2988,33.2,4,4,8,4,0,0,8,0,0.12,0.12,0.24,0.12,0.24,33.2,4,13,8,61.5,0.39,0.24,0.31,0.5,0,0,37,2988.0,81.0,87.4,33.2,35,85.0,27,2,7.0,0,2.32,81.0,26.0,55.0,1.66,0.2,33.2,8,0,0,19,12,11,57,30,28,,,0
Bukayo Saka,Arsenal,ENG,FW,21,2001,ENG-Premier League,2324,35,35,2919,32.4,16,9,25,10,6,6,4,0,0.49,0.28,0.77,0.31,0.59,32.4,16,107,37,34.6,3.3,1.14,0.09,0.27,6,6,35,2919.0,83.0,85.4,32.4,35,83.0,17,0,,0,2.29,78.0,27.0,51.0,1.57,-0.4,32.4,4,0,0,41,69,8,181,16,37,,,0
Cédric Soares,Arsenal,POR,"DF,MF",31,1991,ENG-Premier League,2324,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0,0,0,,0.0,0.0,,,0,0,3,62.0,21.0,1.8,0.7,0,,0,3,21.0,15,3.0,1.0,0.0,1.0,1.45,-0.18,0.7,0,0,0,0,1,0,4,0,0,,,0
Declan Rice,Arsenal,ENG,MF,24,1999,ENG-Premier League,2324,38,37,3225,35.8,7,8,15,7,0,0,5,0,0.2,0.22,0.42,0.2,0.42,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,0,0,38,3225.0,85.0,94.3,35.8,37,87.0,29,1,24.0,0,2.34,84.0,28.0,56.0,1.56,-1.21,35.8,5,0,0,34,14,2,61,44,50,,,0
Eddie Nketiah,Arsenal,ENG,FW,24,1999,ENG-Premier League,2324,27,10,1082,12.0,5,2,7,5,0,0,3,0,0.42,0.17,0.58,0.42,0.58,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,0,0,27,1082.0,40.0,31.6,12.0,10,78.0,3,17,18.0,11,2.15,24.0,10.0,14.0,1.16,-0.68,12.0,3,0,0,24,28,8,5,4,7,,,0
Emile Smith Rowe,Arsenal,ENG,MF,23,2000,ENG-Premier League,2324,13,3,353,3.9,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,3.9,0,15,7,46.7,3.82,1.78,0.0,0.0,0,0,13,353.0,27.0,10.3,3.9,3,76.0,0,10,13.0,18,2.23,12.0,3.0,9.0,2.29,0.74,3.9,0,0,0,5,2,0,1,3,1,,,0
Ethan Nwaneri,Arsenal,ENG,MF,16,2007,ENG-Premier League,2324,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,,0.0,0.0,,,0,0,1,14.0,14.0,0.4,0.2,0,,0,1,14.0,1,3.0,0.0,0.0,0.0,0.0,-1.64,0.2,0,0,0,1,1,0,0,0,0,,,0
Fabio Vieira,Arsenal,POR,MF,23,2000,ENG-Premier League,2324,11,2,297,3.3,1,2,3,0,1,1,0,1,0.3,0.61,0.91,0.0,0.61,3.3,1,7,2,28.6,2.12,0.61,0.0,0.0,1,1,11,297.0,27.0,8.7,3.3,2,62.0,0,9,19.0,13,2.36,11.0,2.0,9.0,2.73,1.2,3.3,0,1,0,8,10,2,15,2,2,,,0
Gabriel Jesus,Arsenal,BRA,FW,26,1997,ENG-Premier League,2324,27,17,1478,16.4,4,5,9,4,0,0,6,0,0.24,0.3,0.55,0.24,0.55,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,0,0,27,1478.0,55.0,43.2,16.4,17,78.0,4,10,16.0,3,2.19,29.0,11.0,18.0,1.1,-0.94,16.4,6,0,0,26,32,16,9,13,17,,,0
Gabriel Magalhães,Arsenal,BRA,DF,25,1997,ENG-Premier League,2324,36,34,3044,33.8,4,0,4,4,0,0,4,0,0.12,0.0,0.12,0.12,0.12,33.8,4,31,10,32.3,0.92,0.3,0.13,0.4,0,0,36,3044.0,85.0,89.0,33.8,34,89.0,32,2,13.0,2,2.36,78.0,26.0,52.0,1.54,-0.86,33.8,4,0,0,35,33,0,4,29,29,,,1
