# Wolverhampton — EPL 2023-24 Transfer Window
Final league position: 12/20 (2023-24 Premier League)

## Financial Summary
  Wolverhampton Wanderers transfer spending for 2023/24 is: £82,720,000 of player purchases £147,576,000 of player sales | Wolverhampton Wanderers net transfer balance for 2023/24 season is £64,856,000

## Players Signed (Arrivals) — 20 transfers
  - Matheus Cunha signed from Atlético de Madrid (LaLiga) | Fee: £44,000,000 | Pos: CF | Age: 24 | Nat: Brazil
  - Jean-Ricner Bellegarde signed from RC Strasbourg Alsace (Ligue 1) | Fee: £13,200,000 | Pos: MC | Age: 25 | Nat: France
  - Santiago Bueno signed from Girona FC (LaLiga) | Fee: £10,560,000 | Pos: DC | Age: 24 | Nat: Uruguay
  - Boubacar Traoré signed from FC Metz (Ligue 1) | Fee: £9,680,000 | Pos: DM | Age: 21 | Nat: Mali
  - Enso González signed from Club Libertad Asunción (Primera División Apertura) | Fee: £5,280,000 | Pos: LW | Age: 18 | Nat: Paraguay
  - Matt Doherty signed from Atlético de Madrid (LaLiga) | Fee: Free transfer | Pos: DR | Age: 31 | Nat: Ireland
  - Tom King signed from Northampton Town (League One) | Fee: Free transfer | Pos: GK | Age: 28 | Nat: Wales
  - Tommy Doyle signed from Manchester City (Premier League) | Fee: loan transfer | Pos: MC | Age: 21 | Nat: England
  - Gonçalo Guedes signed from SL Benfica (Liga Portugal) | Fee: Loan | Pos: LW | Age: 26 | Nat: Portugal
  - Fábio Silva signed from PSV Eindhoven (Eredivisie) | Fee: Loan | Pos: CF | Age: 20 | Nat: Portugal
  - Conor Coady signed from Everton FC (Premier League) | Fee: Loan | Pos: DC | Age: 30 | Nat: England
  - Ki-Jana Hoever signed from Stoke City (Championship) | Fee: Loan | Pos: DR | Age: 22 | Nat: Netherlands
  - Luke Cundle signed from Plymouth Argyle (Championship) | Fee: Loan | Pos: MC | Age: 22 | Nat: England
  - Yerson Mosquera signed from FC Cincinnati (MLS) | Fee: Loan | Pos: DC | Age: 22 | Nat: Colombia
  - Hayao Kawabe signed from Grasshopper Club Zurich (Super League) | Fee: Loan | Pos: MC | Age: 27 | Nat: Japan
  - Bendegúz Bolla signed from Grasshopper Club Zurich (Super League) | Fee: Loan | Pos: DR | Age: 23 | Nat: Hungary
  - Chiquinho signed from Stoke City (Championship) | Fee: Loan | Pos: LW | Age: 23 | Nat: Portugal
  - Bruno Jordão signed from CD Santa Clara (Liga Sabseg) | Fee: Loan | Pos: MC | Age: 24 | Nat: Portugal
  - Chem Campbell signed from Charlton Athletic (League One) | Fee: Loan | Pos: AM | Age: 21 | Nat: Wales
  - Louie Moulden signed from Rochdale AFC (National League) | Fee: Loan | Pos: GK | Age: 22 | Nat: England

## Players Sold / Departed — 23 transfers
  - Matheus Nunes sold/moved to Manchester City (Premier League) | Fee: £54,560,000 | Pos: MC | Age: 25 | Nat: Portugal
  - Rúben Neves sold/moved to Al-Hilal SFC (Saudi Pro League) | Fee: £48,400,000 | Pos: DM | Age: 26 | Nat: Portugal
  - Nathan Collins sold/moved to Brentford FC (Premier League) | Fee: £23,628,000 | Pos: DC | Age: 22 | Nat: Ireland
  - Conor Coady sold/moved to Leicester City (Championship) | Fee: £7,656,000 | Pos: DC | Age: 30 | Nat: England
  - Raúl Jiménez sold/moved to Fulham FC (Premier League) | Fee: £5,632,000 | Pos: CF | Age: 32 | Nat: Mexico
  - Ryan Giles sold/moved to Luton Town (Premier League) | Fee: £5,148,000 | Pos: DL | Age: 23 | Nat: England
  - Daniel Podence sold/moved to Olympiacos Piraeus (Super League 1) | Fee: Loan with fee | Pos: LW | Age: 27 | Nat: Portugal
  - Hayao Kawabe sold/moved to Standard Liège (Jupiler Pro League) | Fee: £1,320,000 | Pos: MC | Age: 27 | Nat: Japan
  - Matija Sarkic sold/moved to Millwall FC (Championship) | Fee: £1,232,000 | Pos: GK | Age: 26 | Nat: Montenegro
  - Adama Traoré sold/moved to Fulham FC (Premier League) | Fee: Free transfer | Pos: RW | Age: 27 | Nat: Spain
  - João Moutinho sold/moved to SC Braga (Liga Portugal) | Fee: Free transfer | Pos: MC | Age: 36 | Nat: Portugal
  - Gonçalo Guedes sold/moved to SL Benfica (Liga Portugal) | Fee: loan transfer | Pos: LW | Age: 26 | Nat: Portugal
  - Ki-Jana Hoever sold/moved to Stoke City (Championship) | Fee: loan transfer | Pos: DR | Age: 21 | Nat: Netherlands
  - Luke Cundle sold/moved to Plymouth Argyle (Championship) | Fee: loan transfer | Pos: MC | Age: 21 | Nat: England
  - Bendegúz Bolla sold/moved to Servette FC (Super League) | Fee: loan transfer | Pos: DR | Age: 23 | Nat: Hungary
  - Chiquinho sold/moved to Stoke City (Championship) | Fee: loan transfer | Pos: LW | Age: 23 | Nat: Portugal
  - Chiquinho sold/moved to FC Famalicão (Liga Portugal) | Fee: loan transfer | Pos: LW | Age: 23 | Nat: Portugal
  - Chem Campbell sold/moved to Charlton Athletic (League One) | Fee: loan transfer | Pos: AM | Age: 20 | Nat: Wales
  - Louie Moulden sold/moved to Rochdale AFC (National League) | Fee: loan transfer | Pos: GK | Age: 21 | Nat: England
  - Diego Costa sold/moved to No team (No team) | Fee: Free transfer | Pos: CF | Age: 34 | Nat: Spain
  - Matheus Cunha sold/moved to Atlético de Madrid (LaLiga) | Fee: Loan | Pos: CF | Age: 24 | Nat: Brazil
  - Tommy Doyle sold/moved to Manchester City (Premier League) | Fee: Loan | Pos: MC | Age: 22 | Nat: England
  - Boubacar Traoré sold/moved to FC Metz (Ligue 1) | Fee: Loan | Pos: DM | Age: 21 | Nat: Mali
