season,Player Name,direction,club,League,Transfer Fee,To,Nationality,Age,Position
2023-24,Cole Palmer,departures,Manchester City,Premier League,"£41,360,000",Chelsea FC,England,21,RW
2023-24,Riyad Mahrez,departures,Manchester City,Saudi Pro League,"£30,800,000",Al-Ahli SFC,Algeria,32,RW
2023-24,Aymeric Laporte,departures,Manchester City,Saudi Pro League,"£24,200,000",Al-Nassr FC,Spain,29,DC
2023-24,Yangel Herrera,departures,Manchester City,LaLiga,"£4,400,000",Girona FC,Venezuela,25,MC
2023-24,Ilkay Gündogan,departures,Manchester City,LaLiga,Free transfer,FC Barcelona,Germany,32,MC
2023-24,Nahuel Bustos,departures,Manchester City,Liga Profesional,Free transfer,Club Atlético Talleres,Argentina,24,CF
2023-24,Benjamin Mendy,departures,Manchester City,Ligue 1,Free transfer,FC Lorient,France,29,DL
2023-24,João Cancelo,departures,Manchester City,LaLiga,loan transfer,FC Barcelona,Portugal,29,DR
2023-24,Taylor Harwood-Bellis,departures,Manchester City,Championship,loan transfer,Southampton FC,England,21,DC
2023-24,James McAtee,departures,Manchester City,Premier League,loan transfer,Sheffield United,England,20,MC
2023-24,Máximo Perrone,departures,Manchester City,LaLiga,loan transfer,UD Las Palmas,Argentina,20,DM
2023-24,Issa Kaboré,departures,Manchester City,Premier League,loan transfer,Luton Town,Burkina Faso,22,DR
2023-24,Tommy Doyle,departures,Manchester City,Premier League,loan transfer,Wolverhampton Wanderers,England,21,MC
2023-24,Josh Wilson-Esbrand,departures,Manchester City,Ligue 1,loan transfer,Stade Reims,England,20,DL
2023-24,Slobodan Tedic,departures,Manchester City,League One,loan transfer,Charlton Athletic,Serbia,23,CF
2023-24,Folarin Balogun,departures,Arsenal,Ligue 1,"£26,400,000",AS Monaco,United States,22,CF
2023-24,Granit Xhaka,departures,Arsenal,Bundesliga,"£13,200,000",Bayer 04 Leverkusen,Switzerland,30,DM
2023-24,Matt Turner,departures,Arsenal,Premier League,"£7,172,000",Nottingham Forest,United States,29,GK
2023-24,Auston Trusty,departures,Arsenal,Premier League,"£5,104,000",Sheffield United,United States,24,DC
2023-24,Pablo Marí,departures,Arsenal,Serie A,"£4,312,000",AC Monza,Spain,29,DC
2023-24,Kieran Tierney,departures,Arsenal,LaLiga,Loan with fee,Real Sociedad,Scotland,26,DL
2023-24,Rob Holding,departures,Arsenal,Premier League,"£1,056,000",Crystal Palace,England,27,DC
2023-24,Nuno Tavares,departures,Arsenal,Premier League,Loan with fee,Nottingham Forest,Portugal,23,DL
2023-24,Marquinhos,departures,Arsenal,Ligue 1,Loan with fee,FC Nantes,Brazil,20,RW
2023-24,Nicolas Pépé,departures,Arsenal,Süper Lig,Free transfer,Trabzonspor,Cote d'Ivoire,28,RW
2023-24,Ainsley Maitland-Niles,departures,Arsenal,Ligue 1,Free transfer,Olympique Lyon,England,25,MC
2023-24,Albert Sambi Lokonga,departures,Arsenal,Premier League,loan transfer,Luton Town,Belgium,23,MC
2023-24,Arthur Okonkwo,departures,Arsenal,League Two,loan transfer,Wrexham AFC,England,21,GK
2023-24,Rúnar Alex Rúnarsson,departures,Arsenal,Championship,loan transfer,Cardiff City,Iceland,28,GK
2023-24,Fabinho,departures,Liverpool,Saudi Pro League,"£41,096,000",Al-Ittihad Club,Brazil,29,DM
2023-24,Jordan Henderson,departures,Liverpool,Saudi Pro League,"£12,320,000",Al-Ettifaq FC,England,33,MC
2023-24,Roberto Firmino,departures,Liverpool,Saudi Pro League,Free transfer,Al-Ahli SFC,Brazil,31,CF
2023-24,Naby Keïta,departures,Liverpool,Bundesliga,Free transfer,SV Werder Bremen,Guinea,28,MC
2023-24,Alex Oxlade-Chamberlain,departures,Liverpool,Süper Lig,Free transfer,Besiktas JK,England,29,MC
2023-24,James Milner,departures,Liverpool,Premier League,Free transfer,Brighton & Hove Albion,England,37,MC
2023-24,Fábio Carvalho,departures,Liverpool,Bundesliga,loan transfer,RB Leipzig,Portugal,20,AM
2023-24,Sepp van den Berg,departures,Liverpool,Bundesliga,loan transfer,1.FSV Mainz 05,Netherlands,21,DC
2023-24,Calvin Ramsay,departures,Liverpool,Championship,loan transfer,Preston North End,Scotland,19,DR
2023-24,Nathaniel Phillips,departures,Liverpool,Premiership,loan transfer,Celtic FC,England,26,DC
2023-24,Rhys Williams,departures,Liverpool,Premiership,loan transfer,Aberdeen FC,England,22,DC
2023-24,Arthur Melo,departures,Liverpool,Serie A,Loan,Juventus FC,Brazil,26,MC
2023-24,Cameron Archer,departures,Aston Villa,Premier League,"£18,964,000",Sheffield United,England,21,CF
2023-24,Jaden Philogene,departures,Aston Villa,Championship,"£5,104,000",Hull City,England,21,LW
2023-24,Marvelous Nakamba,departures,Aston Villa,Premier League,"£2,552,000",Luton Town,Zimbabwe,29,DM
2023-24,Keinan Davis,departures,Aston Villa,Serie A,"£2,024,000",Udinese Calcio,England,25,CF
2023-24,Ashley Young,departures,Aston Villa,Premier League,Free transfer,Everton FC,England,38,DL
2023-24,Wesley Moraes,departures,Aston Villa,Championship,Unknown,Stoke City,Brazil,26,CF
2023-24,Philippe Coutinho,departures,Aston Villa,Stars League,loan transfer,Al-Duhail SC,Brazil,31,LW
