# Sheffield United — EPL 2023-24 Transfer Window
Final league position: 20/20 (2023-24 Premier League)

## Financial Summary
  Sheffield United transfer spending for 2023/24 is: £56,716,000 of player purchases £27,192,000 of player sales | Sheffield United net transfer balance for 2023/24 season is £-29,524,000

## Players Signed (Arrivals) — 10 transfers
  - Cameron Archer signed from Aston Villa (Premier League) | Fee: £18,964,000 | Pos: CF | Age: 21 | Nat: England
  - Gustavo Hamer signed from Coventry City (Championship) | Fee: £15,224,000 | Pos: DM | Age: 26 | Nat: Netherlands
  - Vini Souza signed from Lommel SK (Challenger Pro League) | Fee: £11,000,000 | Pos: DM | Age: 24 | Nat: Brazil
  - Auston Trusty signed from Arsenal FC (Premier League) | Fee: £5,104,000 | Pos: DC | Age: 24 | Nat: United States
  - Bénie Traoré signed from BK Häcken (Allsvenskan) | Fee: £4,048,000 | Pos: CF | Age: 20 | Nat: Cote d'Ivoire
  - Anis Slimane signed from Bröndby IF (Superligaen) | Fee: £2,376,000 | Pos: MC | Age: 22 | Nat: Tunisia
  - Tom Davies signed from Everton FC (Premier League) | Fee: Free transfer | Pos: MC | Age: 25 | Nat: England
  - Luke Thomas signed from Leicester City (Championship) | Fee: loan transfer | Pos: DL | Age: 22 | Nat: England
  - James McAtee signed from Manchester City (Premier League) | Fee: loan transfer | Pos: MC | Age: 20 | Nat: England
  - Yasser Larouci signed from ESTAC Troyes (Ligue 2) | Fee: loan transfer | Pos: DL | Age: 22 | Nat: France

## Players Sold / Departed — 9 transfers
  - Iliman Ndiaye sold/moved to Olympique Marseille (Ligue 1) | Fee: £14,960,000 | Pos: ST | Age: 23 | Nat: Senegal
  - Sander Berge sold/moved to Burnley FC (Premier League) | Fee: £12,232,000 | Pos: DM | Age: 25 | Nat: Norway
  - Enda Stevens sold/moved to Stoke City (Championship) | Fee: Free transfer | Pos: DL | Age: 32 | Nat: Ireland
  - Billy Sharp sold/moved to Los Angeles Galaxy (MLS) | Fee: Free transfer | Pos: CF | Age: 37 | Nat: England
  - Jake Eastwood sold/moved to Grimsby Town (League Two) | Fee: Unknown | Pos: GK | Age: 26 | Nat: England
  - Jack O'Connell sold/moved to No team (No team) | Fee: Free transfer | Pos: DC | Age: 29 | Nat: England
  - Kyron Gordon sold/moved to No team (No team) | Fee: Free transfer | Pos: DC | Age: 21 | Nat: England
  - Luke Thomas sold/moved to Leicester City (Championship) | Fee: Loan | Pos: DL | Age: 22 | Nat: England
  - James McAtee sold/moved to Manchester City (Premier League) | Fee: Loan | Pos: MC | Age: 21 | Nat: England
