season,Player Name,direction,club,League,From,Transfer Fee,Nationality,Age,Position
2023-24,Josko Gvardiol,arrivals,Manchester City,Bundesliga,RB Leipzig,"£79,200,000",Croatia,21,DC
2023-24,Matheus Nunes,arrivals,Manchester City,Premier League,Wolverhampton Wanderers,"£54,560,000",Portugal,25,MC
2023-24,Jérémy Doku,arrivals,Manchester City,Ligue 1,Stade Rennais FC,"£52,800,000",Belgium,21,RW
2023-24,Mateo Kovacic,arrivals,Manchester City,Premier League,Chelsea FC,"£25,608,000",Croatia,29,MC
2023-24,James McAtee,arrivals,Manchester City,Premier League 2,Manchester City U21,Free transfer,England,20,MC
2023-24,Tommy Doyle,arrivals,Manchester City,Premier League 2,Manchester City U21,Free transfer,England,21,MC
2023-24,João Cancelo,arrivals,Manchester City,Bundesliga,Bayern Munich,Loan,Portugal,29,DR
2023-24,Taylor Harwood-Bellis,arrivals,Manchester City,Championship,Southampton FC,Loan,England,22,DC
2023-24,James McAtee,arrivals,Manchester City,Premier League,Sheffield United,Loan,England,21,MC
2023-24,Issa Kaboré,arrivals,Manchester City,Premier League,Luton Town,Loan,Burkina Faso,23,DR
2023-24,Tommy Doyle,arrivals,Manchester City,Premier League,Wolverhampton Wanderers,Loan,England,22,MC
2023-24,Issa Kaboré,arrivals,Manchester City,Ligue 1,Olympique Marseille,Loan,Burkina Faso,22,DR
2023-24,Yangel Herrera,arrivals,Manchester City,LaLiga,Girona FC,Loan,Venezuela,25,MC
2023-24,Nahuel Bustos,arrivals,Manchester City,Liga Profesional,Club Atlético Talleres,Loan,Argentina,24,CF
2023-24,Slobodan Tedic,arrivals,Manchester City,League One,Charlton Athletic,Loan,Serbia,24,CF
2023-24,Declan Rice,arrivals,Arsenal,Premier League,West Ham United,"£102,608,000",England,24,DM
2023-24,Kai Havertz,arrivals,Arsenal,Premier League,Chelsea FC,"£66,000,000",Germany,24,AM
2023-24,Jurrien Timber,arrivals,Arsenal,Eredivisie,Ajax Amsterdam,"£35,200,000",Netherlands,22,DC
2023-24,David Raya,arrivals,Arsenal,Premier League,Brentford FC,Loan with fee,Spain,27,GK
2023-24,Folarin Balogun,arrivals,Arsenal,Ligue 1,Stade Reims,Loan,United States,21,CF
2023-24,Nicolas Pépé,arrivals,Arsenal,Ligue 1,OGC Nice,Loan,Cote d'Ivoire,28,RW
2023-24,Nuno Tavares,arrivals,Arsenal,Ligue 1,Olympique Marseille,Loan,Portugal,23,DL
2023-24,Albert Sambi Lokonga,arrivals,Arsenal,Premier League,Luton Town,Loan,Belgium,24,MC
2023-24,Pablo Marí,arrivals,Arsenal,Serie A,AC Monza,Loan,Spain,29,DC
2023-24,Cédric Soares,arrivals,Arsenal,Premier League,Fulham FC,Loan,Portugal,31,DR
2023-24,Arthur Okonkwo,arrivals,Arsenal,League Two,Wrexham AFC,Loan,England,22,GK
2023-24,Arthur Okonkwo,arrivals,Arsenal,Bundesliga,SK Sturm Graz,Loan,England,21,GK
2023-24,Rúnar Alex Rúnarsson,arrivals,Arsenal,Championship,Cardiff City,Loan,Iceland,29,GK
2023-24,Rúnar Alex Rúnarsson,arrivals,Arsenal,Süper Lig,Alanyaspor,Loan,Iceland,28,GK
