league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,4,13,8,61.5,0.39,0.24,0.31,0.5,0,0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,16,107,37,34.6,3.3,1.14,0.09,0.27,6,6
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,"DF,MF",31,1991,0.7,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,0,0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,0,0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,0,15,7,46.7,3.82,1.78,0.0,0.0,0,0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,MF,16,2007,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23,2000,3.3,1,7,2,28.6,2.12,0.61,0.0,0.0,1,1
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,0,0
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,4,31,10,32.3,0.92,0.3,0.13,0.4,0,0
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,6,58,22,37.9,2.59,0.98,0.1,0.27,0,0
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,1,6,3,50.0,0.57,0.29,0.17,0.33,0,0
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31,1991,10.2,0,4,0,0.0,0.39,0.0,0.0,,0,0
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,13,69,28,40.6,2.36,0.96,0.17,0.43,1,1
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,0,0
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,8,77,23,29.9,2.24,0.67,0.08,0.26,2,2
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,0,0
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,0,0
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,0,4,1,25.0,1.34,0.34,0.0,0.0,0,0
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,2,17,3,17.6,1.33,0.23,0.12,0.67,0,0
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,0,8,2,25.0,0.91,0.23,0.0,0.0,0,0
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22,2001,38.0,2,10,4,40.0,0.26,0.11,0.2,0.5,0,0
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"FW,MF",27,1995,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,0,5,1,20.0,0.27,0.05,0.0,0.0,0,0
ENG-Premier League,2324,Aston Villa,Calum Chambers,ENG,MF,28,1995,1.7,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,"FW,MF",22,2001,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.0,0.0,0,0
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,0,10,1,10.0,0.5,0.05,0.0,0.0,0,0
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,9,48,17,35.4,1.44,0.51,0.1,0.29,4,4
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,1,19,5,26.3,0.56,0.15,0.05,0.2,0,0
ENG-Premier League,2324,Aston Villa,Finley Munroe,ENG,DF,18,2005,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,MF,22,2001,9.5,1,19,5,26.3,2.0,0.53,0.05,0.2,0,0
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",21,2002,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,MF,28,1994,33.3,6,40,16,40.0,1.2,0.48,0.15,0.38,0,0
ENG-Premier League,2324,Aston Villa,Jáder Durán,COL,FW,19,2003,5.3,5,20,7,35.0,3.79,1.33,0.25,0.71,0,0
ENG-Premier League,2324,Aston Villa,Kaine Kesler-Hayden,ENG,"DF,MF",20,2002,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,1,2,1,50.0,1.51,0.76,0.5,1.0,0,0
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,MF,25,1997,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,0,0
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,0,0
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,"DF,MF",25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,0,0
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,MF,21,2002,7.1,3,11,5,45.5,1.55,0.71,0.27,0.6,0,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"MF,FW",24,1999,24.2,6,54,23,42.6,2.24,0.95,0.11,0.26,0,0
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24,1999,9.3,2,27,10,37.0,2.9,1.07,0.07,0.2,0,0
