EPL 2023-24 RAG System — Evaluation Summary
=======================================================

System: BM25
  EM=0.9866  F1=0.9851  AnswerRecall=0.9815
  N=3358

  By Question Type (F1):
    comparative_goals            F1=1.0000 (n=2)
    comparative_player_apps      F1=0.9870 (n=77)
    comparative_player_assists   F1=0.9487 (n=78)
    comparative_player_goals     F1=0.9831 (n=79)
    comparative_player_minutes   F1=0.9487 (n=78)
    comparative_team_assists     F1=1.0000 (n=55)
    comparative_team_goals       F1=1.0000 (n=56)
    comparative_team_possession  F1=1.0000 (n=57)
    comparative_team_yellow_cards F1=1.0000 (n=56)
    match_goal_difference        F1=1.0000 (n=115)
    match_outcome_from_score     F1=1.0000 (n=115)
    match_result_type            F1=1.0000 (n=27)
    match_result_yn              F1=1.0000 (n=88)
    match_score                  F1=1.0000 (n=115)
    match_total_goals            F1=1.0000 (n=115)
    match_venue                  F1=1.0000 (n=115)
    match_winner                 F1=1.0000 (n=88)
    player_age                   F1=0.9116 (n=181)
    player_apps                  F1=1.0000 (n=173)
    player_assists               F1=0.9783 (n=92)
    player_club                  F1=1.0000 (n=173)
    player_goals                 F1=0.9778 (n=180)
    player_minutes               F1=0.9835 (n=121)
    player_nationality           F1=1.0000 (n=245)
    player_position              F1=0.9743 (n=298)
    team_assists                 F1=1.0000 (n=6)
    team_goals                   F1=1.0000 (n=6)
    team_possession              F1=1.0000 (n=6)
    team_yellow_cards            F1=1.0000 (n=6)
    transfer_dest                F1=1.0000 (n=174)
    transfer_fee                 F1=0.9192 (n=99)
    transfer_league              F1=1.0000 (n=94)
    transfer_origin              F1=1.0000 (n=188)

System: Dense
  EM=0.9863  F1=0.9848  AnswerRecall=0.9812
  N=3358

  By Question Type (F1):
    comparative_goals            F1=1.0000 (n=2)
    comparative_player_apps      F1=0.9870 (n=77)
    comparative_player_assists   F1=0.9487 (n=78)
    comparative_player_goals     F1=0.9958 (n=79)
    comparative_player_minutes   F1=0.9487 (n=78)
    comparative_team_assists     F1=1.0000 (n=55)
    comparative_team_goals       F1=1.0000 (n=56)
    comparative_team_possession  F1=1.0000 (n=57)
    comparative_team_yellow_cards F1=1.0000 (n=56)
    match_goal_difference        F1=1.0000 (n=115)
    match_outcome_from_score     F1=1.0000 (n=115)
    match_result_type            F1=1.0000 (n=27)
    match_result_yn              F1=1.0000 (n=88)
    match_score                  F1=1.0000 (n=115)
    match_total_goals            F1=1.0000 (n=115)
    match_venue                  F1=1.0000 (n=115)
    match_winner                 F1=1.0000 (n=88)
    player_age                   F1=0.8950 (n=181)
    player_apps                  F1=1.0000 (n=173)
    player_assists               F1=0.9783 (n=92)
    player_club                  F1=1.0000 (n=173)
    player_goals                 F1=0.9778 (n=180)
    player_minutes               F1=0.9835 (n=121)
    player_nationality           F1=1.0000 (n=245)
    player_position              F1=0.9743 (n=298)
    team_assists                 F1=1.0000 (n=6)
    team_goals                   F1=1.0000 (n=6)
    team_possession              F1=1.0000 (n=6)
    team_yellow_cards            F1=1.0000 (n=6)
    transfer_dest                F1=1.0000 (n=174)
    transfer_fee                 F1=0.9394 (n=99)
    transfer_league              F1=0.9894 (n=94)
    transfer_origin              F1=1.0000 (n=188)

IAA: {}
